vocabulary size: 111
n tunes: 400
n train tunes: 336
n validation tunes: 64
min, max length 52 6464
Building the model
  number of parameters: 5548688
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   12321      (64, None, 111)
    InputLayer                       0          (64, None)
    LSTMLayer                        1278976    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    LSTMLayer                        2100224    (64, None, 512)
    DropoutLayer                     0          (64, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       56943      (None, 111)
Train model
1/500 (epoch 0.200) train_loss=1312.33147462 time/batch=26.28s
2/500 (epoch 0.400) train_loss=453.26524820 time/batch=9.63s
3/500 (epoch 0.600) train_loss=1459.42098458 time/batch=39.81s
4/500 (epoch 0.800) train_loss=788.96537199 time/batch=18.42s
5/500 (epoch 1.000) train_loss=416.41377785 time/batch=43.67s
6/500 (epoch 1.200) train_loss=333.38903766 time/batch=44.28s
7/500 (epoch 1.400) train_loss=768.11497566 time/batch=20.99s
8/500 (epoch 1.600) train_loss=864.28399285 time/batch=26.73s
9/500 (epoch 1.800) train_loss=393.35332677 time/batch=11.76s
10/500 (epoch 2.000) train_loss=1102.73725330 time/batch=40.07s
11/500 (epoch 2.200) train_loss=1044.57021604 time/batch=30.05s
12/500 (epoch 2.400) train_loss=836.48529231 time/batch=33.19s
13/500 (epoch 2.600) train_loss=513.06439473 time/batch=15.33s
14/500 (epoch 2.800) train_loss=268.03868561 time/batch=9.15s
15/500 (epoch 3.000) train_loss=678.01912484 time/batch=43.09s
16/500 (epoch 3.200) train_loss=1199.42154445 time/batch=38.96s
17/500 (epoch 3.400) train_loss=715.01652415 time/batch=19.88s
18/500 (epoch 3.600) train_loss=295.91133010 time/batch=9.56s
19/500 (epoch 3.800) train_loss=342.84115891 time/batch=12.76s
20/500 (epoch 4.000) train_loss=705.84690289 time/batch=25.63s
21/500 (epoch 4.200) train_loss=359.75379409 time/batch=12.58s
22/500 (epoch 4.400) train_loss=886.08585413 time/batch=27.91s
23/500 (epoch 4.600) train_loss=1055.75675649 time/batch=37.69s
24/500 (epoch 4.800) train_loss=681.61565769 time/batch=40.01s
25/500 (epoch 5.000) train_loss=315.21789266 time/batch=44.55s
26/500 (epoch 5.200) train_loss=327.18810745 time/batch=11.57s
27/500 (epoch 5.400) train_loss=1233.05663917 time/batch=41.01s
28/500 (epoch 5.600) train_loss=662.24944440 time/batch=20.33s
29/500 (epoch 5.800) train_loss=406.24873754 time/batch=20.83s
30/500 (epoch 6.000) train_loss=584.02205879 time/batch=42.00s
31/500 (epoch 6.200) train_loss=1185.73841778 time/batch=41.28s
32/500 (epoch 6.400) train_loss=511.29977434 time/batch=15.59s
33/500 (epoch 6.600) train_loss=398.49273511 time/batch=17.88s
34/500 (epoch 6.800) train_loss=302.19787121 time/batch=47.30s
35/500 (epoch 7.000) train_loss=838.24198965 time/batch=26.21s
36/500 (epoch 7.200) train_loss=969.20688684 time/batch=31.01s
37/500 (epoch 7.400) train_loss=560.80617099 time/batch=19.45s
38/500 (epoch 7.600) train_loss=558.66678479 time/batch=21.83s
39/500 (epoch 7.800) train_loss=301.95207468 time/batch=44.67s
40/500 (epoch 8.000) train_loss=862.57159630 time/batch=42.00s
41/500 (epoch 8.200) train_loss=811.52609697 time/batch=24.38s
42/500 (epoch 8.400) train_loss=714.10654129 time/batch=26.48s
43/500 (epoch 8.600) train_loss=1022.64771733 time/batch=47.81s
44/500 (epoch 8.800) train_loss=380.39084256 time/batch=14.71s
45/500 (epoch 9.000) train_loss=300.66649627 time/batch=15.33s
46/500 (epoch 9.200) train_loss=1064.56802916 time/batch=36.16s
47/500 (epoch 9.400) train_loss=342.92409387 time/batch=13.05s
48/500 (epoch 9.600) train_loss=605.55348910 time/batch=23.19s
49/500 (epoch 9.800) train_loss=622.90822795 time/batch=27.17s
50/500 (epoch 10.000) train_loss=607.12591531 time/batch=48.76s
  saved to metadata/config5-processed_songs-20250114-005031.pkl
51/500 (epoch 10.200) train_loss=1153.42319959 time/batch=39.53s
52/500 (epoch 10.400) train_loss=643.33241042 time/batch=21.35s
53/500 (epoch 10.600) train_loss=746.83429742 time/batch=47.56s
54/500 (epoch 10.800) train_loss=388.83213852 time/batch=15.49s
55/500 (epoch 11.000) train_loss=295.47169541 time/batch=52.46s
56/500 (epoch 11.200) train_loss=708.39405406 time/batch=25.49s
57/500 (epoch 11.400) train_loss=265.52956434 time/batch=11.00s
58/500 (epoch 11.600) train_loss=1035.17510250 time/batch=37.33s
59/500 (epoch 11.800) train_loss=395.22858481 time/batch=53.46s
60/500 (epoch 12.000) train_loss=800.85828470 time/batch=47.83s
61/500 (epoch 12.200) train_loss=274.50544152 time/batch=52.33s
62/500 (epoch 12.400) train_loss=673.32788402 time/batch=24.62s
63/500 (epoch 12.600) train_loss=1161.32870238 time/batch=48.05s
64/500 (epoch 12.800) train_loss=689.66442868 time/batch=29.16s
65/500 (epoch 13.000) train_loss=377.88113256 time/batch=15.58s
66/500 (epoch 13.200) train_loss=1200.25917049 time/batch=46.48s
67/500 (epoch 13.400) train_loss=762.94589179 time/batch=27.27s
68/500 (epoch 13.600) train_loss=286.75071521 time/batch=52.76s
69/500 (epoch 13.800) train_loss=594.13572817 time/batch=29.11s
70/500 (epoch 14.000) train_loss=368.75763586 time/batch=52.12s
71/500 (epoch 14.200) train_loss=1182.43021424 time/batch=48.11s
72/500 (epoch 14.400) train_loss=327.32706877 time/batch=12.78s
73/500 (epoch 14.600) train_loss=594.57445331 time/batch=23.10s
74/500 (epoch 14.800) train_loss=760.16282867 time/batch=29.05s
75/500 (epoch 15.000) train_loss=345.68574575 time/batch=15.52s
76/500 (epoch 15.200) train_loss=823.10658045 time/batch=29.59s
77/500 (epoch 15.400) train_loss=264.19768237 time/batch=10.58s
78/500 (epoch 15.600) train_loss=1148.13257947 time/batch=48.76s
79/500 (epoch 15.800) train_loss=413.91223190 time/batch=15.91s
80/500 (epoch 16.000) train_loss=440.11473268 time/batch=20.23s
81/500 (epoch 16.200) train_loss=315.75804070 time/batch=14.25s
82/500 (epoch 16.400) train_loss=309.98317251 time/batch=53.92s
83/500 (epoch 16.600) train_loss=468.92511490 time/batch=20.20s
84/500 (epoch 16.800) train_loss=986.01978305 time/batch=34.41s
85/500 (epoch 17.000) train_loss=873.31058429 time/batch=40.27s
86/500 (epoch 17.200) train_loss=299.52190372 time/batch=53.75s
87/500 (epoch 17.400) train_loss=609.36088716 time/batch=23.61s
88/500 (epoch 17.600) train_loss=969.61870955 time/batch=36.07s
89/500 (epoch 17.800) train_loss=932.92735417 time/batch=49.74s
90/500 (epoch 18.000) train_loss=389.12049985 time/batch=15.58s
91/500 (epoch 18.200) train_loss=965.26309139 time/batch=35.40s
92/500 (epoch 18.400) train_loss=413.39059302 time/batch=16.87s
93/500 (epoch 18.600) train_loss=395.99911007 time/batch=20.00s
94/500 (epoch 18.800) train_loss=313.64065466 time/batch=54.51s
95/500 (epoch 19.000) train_loss=1021.92485841 time/batch=49.63s
96/500 (epoch 19.200) train_loss=1005.47936602 time/batch=38.08s
97/500 (epoch 19.400) train_loss=270.51497865 time/batch=11.03s
98/500 (epoch 19.600) train_loss=944.98705597 time/batch=48.74s
99/500 (epoch 19.800) train_loss=430.69354618 time/batch=17.54s
100/500 (epoch 20.000) train_loss=421.42015718 time/batch=21.02s
  saved to metadata/config5-processed_songs-20250114-005031.pkl
101/500 (epoch 20.200) train_loss=1090.33411142 time/batch=41.48s
102/500 (epoch 20.400) train_loss=376.17888897 time/batch=15.50s
103/500 (epoch 20.600) train_loss=590.08200416 time/batch=23.34s
104/500 (epoch 20.800) train_loss=292.35550958 time/batch=53.56s
105/500 (epoch 21.000) train_loss=851.01936236 time/batch=49.99s
106/500 (epoch 21.200) train_loss=277.61405323 time/batch=11.97s
107/500 (epoch 21.400) train_loss=1042.27209263 time/batch=40.02s
108/500 (epoch 21.600) train_loss=509.76479693 time/batch=21.13s
109/500 (epoch 21.800) train_loss=620.31302053 time/batch=25.59s
110/500 (epoch 22.000) train_loss=464.81363761 time/batch=54.46s
setting learning rate to 0.0029100
111/500 (epoch 22.200) train_loss=389.99635237 time/batch=17.11s
112/500 (epoch 22.400) train_loss=293.55952076 time/batch=17.28s
113/500 (epoch 22.600) train_loss=1206.77499926 time/batch=48.45s
114/500 (epoch 22.800) train_loss=804.12788858 time/batch=29.48s
115/500 (epoch 23.000) train_loss=481.00509144 time/batch=22.14s
setting learning rate to 0.0028227
116/500 (epoch 23.200) train_loss=836.78541401 time/batch=32.05s
117/500 (epoch 23.400) train_loss=1104.29364802 time/batch=48.06s
118/500 (epoch 23.600) train_loss=303.61183655 time/batch=46.87s
119/500 (epoch 23.800) train_loss=551.30558255 time/batch=21.90s
120/500 (epoch 24.000) train_loss=370.82919311 time/batch=15.42s
setting learning rate to 0.0027380
121/500 (epoch 24.200) train_loss=834.54153676 time/batch=29.44s
122/500 (epoch 24.400) train_loss=1134.78876076 time/batch=47.21s
123/500 (epoch 24.600) train_loss=516.94236963 time/batch=20.67s
124/500 (epoch 24.800) train_loss=261.36728917 time/batch=10.97s
125/500 (epoch 25.000) train_loss=345.35628386 time/batch=14.49s
setting learning rate to 0.0026559
126/500 (epoch 25.200) train_loss=588.59497258 time/batch=22.63s
127/500 (epoch 25.400) train_loss=1150.39954984 time/batch=45.46s
128/500 (epoch 25.600) train_loss=489.58975524 time/batch=24.44s
129/500 (epoch 25.800) train_loss=285.74735916 time/batch=12.22s
130/500 (epoch 26.000) train_loss=502.58419629 time/batch=53.20s
setting learning rate to 0.0025762
131/500 (epoch 26.200) train_loss=254.39379903 time/batch=10.71s
132/500 (epoch 26.400) train_loss=477.65617467 time/batch=20.48s
133/500 (epoch 26.600) train_loss=834.69111662 time/batch=31.57s
134/500 (epoch 26.800) train_loss=1141.84901306 time/batch=49.34s
135/500 (epoch 27.000) train_loss=441.34116158 time/batch=22.34s
setting learning rate to 0.0024989
136/500 (epoch 27.200) train_loss=758.38614050 time/batch=28.10s
137/500 (epoch 27.400) train_loss=1093.02107745 time/batch=43.22s
138/500 (epoch 27.600) train_loss=517.79161350 time/batch=20.59s
139/500 (epoch 27.800) train_loss=508.20812829 time/batch=48.57s
140/500 (epoch 28.000) train_loss=275.13593586 time/batch=11.73s
setting learning rate to 0.0024239
141/500 (epoch 28.200) train_loss=1135.39542029 time/batch=44.83s
142/500 (epoch 28.400) train_loss=505.01327152 time/batch=20.18s
143/500 (epoch 28.600) train_loss=413.99043800 time/batch=22.25s
144/500 (epoch 28.800) train_loss=289.67909501 time/batch=53.05s
145/500 (epoch 29.000) train_loss=844.99016207 time/batch=48.44s
setting learning rate to 0.0023512
146/500 (epoch 29.200) train_loss=878.70792394 time/batch=32.50s
147/500 (epoch 29.400) train_loss=637.26688910 time/batch=24.17s
148/500 (epoch 29.600) train_loss=350.96159978 time/batch=15.04s
149/500 (epoch 29.800) train_loss=985.20570151 time/batch=49.90s
150/500 (epoch 30.000) train_loss=294.47716540 time/batch=53.90s
setting learning rate to 0.0022807
  saved to metadata/config5-processed_songs-20250114-005031.pkl
151/500 (epoch 30.200) train_loss=1150.27534536 time/batch=49.34s
152/500 (epoch 30.400) train_loss=291.76938896 time/batch=11.92s
153/500 (epoch 30.600) train_loss=350.64904552 time/batch=15.87s
154/500 (epoch 30.800) train_loss=816.97555829 time/batch=30.09s
155/500 (epoch 31.000) train_loss=577.18899967 time/batch=23.29s
setting learning rate to 0.0022123
156/500 (epoch 31.200) train_loss=360.96040500 time/batch=15.27s
157/500 (epoch 31.400) train_loss=485.28334507 time/batch=20.50s
158/500 (epoch 31.600) train_loss=607.04038846 time/batch=25.07s
159/500 (epoch 31.800) train_loss=429.18560182 time/batch=53.25s
160/500 (epoch 32.000) train_loss=1030.60249287 time/batch=39.55s
setting learning rate to 0.0021459
161/500 (epoch 32.200) train_loss=268.18476049 time/batch=10.96s
162/500 (epoch 32.400) train_loss=735.57727850 time/batch=27.76s
163/500 (epoch 32.600) train_loss=383.83098427 time/batch=53.58s
164/500 (epoch 32.800) train_loss=617.71884259 time/batch=30.05s
165/500 (epoch 33.000) train_loss=1139.85649549 time/batch=49.39s
setting learning rate to 0.0020815
166/500 (epoch 33.200) train_loss=1138.42613710 time/batch=48.68s
167/500 (epoch 33.400) train_loss=754.24493577 time/batch=27.71s
168/500 (epoch 33.600) train_loss=577.16509911 time/batch=29.07s
169/500 (epoch 33.800) train_loss=252.36999789 time/batch=10.82s
170/500 (epoch 34.000) train_loss=342.51418321 time/batch=14.38s
setting learning rate to 0.0020191
171/500 (epoch 34.200) train_loss=646.51485351 time/batch=24.46s
172/500 (epoch 34.400) train_loss=953.94277295 time/batch=34.81s
173/500 (epoch 34.600) train_loss=293.51338109 time/batch=53.97s
174/500 (epoch 34.800) train_loss=892.38964119 time/batch=48.89s
175/500 (epoch 35.000) train_loss=334.07364973 time/batch=14.48s
setting learning rate to 0.0019585
176/500 (epoch 35.200) train_loss=1143.23812948 time/batch=49.23s
177/500 (epoch 35.400) train_loss=549.64673055 time/batch=22.21s
178/500 (epoch 35.600) train_loss=831.48946444 time/batch=29.47s
179/500 (epoch 35.800) train_loss=305.22170957 time/batch=52.99s
180/500 (epoch 36.000) train_loss=346.86407929 time/batch=14.31s
setting learning rate to 0.0018998
181/500 (epoch 36.200) train_loss=949.20955247 time/batch=34.95s
182/500 (epoch 36.400) train_loss=578.02199824 time/batch=22.81s
183/500 (epoch 36.600) train_loss=285.85448562 time/batch=53.31s
184/500 (epoch 36.800) train_loss=676.14606479 time/batch=37.80s
185/500 (epoch 37.000) train_loss=421.82431688 time/batch=42.13s
setting learning rate to 0.0018428
186/500 (epoch 37.200) train_loss=557.95917130 time/batch=22.89s
187/500 (epoch 37.400) train_loss=1010.50159228 time/batch=37.88s
188/500 (epoch 37.600) train_loss=280.90004259 time/batch=53.27s
189/500 (epoch 37.800) train_loss=321.24712757 time/batch=14.18s
190/500 (epoch 38.000) train_loss=637.44114301 time/batch=40.46s
setting learning rate to 0.0017875
191/500 (epoch 38.200) train_loss=327.83037669 time/batch=15.02s
192/500 (epoch 38.400) train_loss=1138.02371111 time/batch=48.88s
193/500 (epoch 38.600) train_loss=786.95357933 time/batch=29.14s
194/500 (epoch 38.800) train_loss=272.49605738 time/batch=15.66s
195/500 (epoch 39.000) train_loss=502.85530318 time/batch=21.73s
setting learning rate to 0.0017339
196/500 (epoch 39.200) train_loss=742.43952220 time/batch=27.61s
197/500 (epoch 39.400) train_loss=279.87973052 time/batch=52.61s
198/500 (epoch 39.600) train_loss=1135.92223092 time/batch=49.29s
199/500 (epoch 39.800) train_loss=453.84790801 time/batch=20.17s
200/500 (epoch 40.000) train_loss=453.73996829 time/batch=30.21s
setting learning rate to 0.0016818
  saved to metadata/config5-processed_songs-20250114-005031.pkl
201/500 (epoch 40.200) train_loss=242.30858863 time/batch=10.76s
202/500 (epoch 40.400) train_loss=1131.67508904 time/batch=48.70s
203/500 (epoch 40.600) train_loss=789.34197545 time/batch=29.22s
204/500 (epoch 40.800) train_loss=521.12352748 time/batch=22.66s
205/500 (epoch 41.000) train_loss=332.82772430 time/batch=15.43s
setting learning rate to 0.0016314
206/500 (epoch 41.200) train_loss=809.22430014 time/batch=31.43s
207/500 (epoch 41.400) train_loss=265.92859264 time/batch=11.83s
208/500 (epoch 41.600) train_loss=594.23697484 time/batch=31.84s
209/500 (epoch 41.800) train_loss=701.35411607 time/batch=36.67s
210/500 (epoch 42.000) train_loss=410.50728169 time/batch=41.66s
setting learning rate to 0.0015824
211/500 (epoch 42.200) train_loss=831.19385733 time/batch=32.68s
212/500 (epoch 42.400) train_loss=293.31279229 time/batch=13.00s
213/500 (epoch 42.600) train_loss=305.26834319 time/batch=53.29s
214/500 (epoch 42.800) train_loss=1083.01784927 time/batch=49.03s
215/500 (epoch 43.000) train_loss=520.45290735 time/batch=22.71s
setting learning rate to 0.0015350
216/500 (epoch 43.200) train_loss=546.26397517 time/batch=22.98s
217/500 (epoch 43.400) train_loss=424.57967931 time/batch=23.70s
218/500 (epoch 43.600) train_loss=939.02324296 time/batch=35.42s
219/500 (epoch 43.800) train_loss=308.02075762 time/batch=24.72s
220/500 (epoch 44.000) train_loss=665.76145240 time/batch=43.66s
setting learning rate to 0.0014889
221/500 (epoch 44.200) train_loss=385.03756096 time/batch=18.01s
222/500 (epoch 44.400) train_loss=1128.60201657 time/batch=48.88s
223/500 (epoch 44.600) train_loss=237.62173564 time/batch=10.62s
224/500 (epoch 44.800) train_loss=785.60875020 time/batch=29.51s
225/500 (epoch 45.000) train_loss=395.76316021 time/batch=20.25s
setting learning rate to 0.0014443
226/500 (epoch 45.200) train_loss=753.35777338 time/batch=28.02s
227/500 (epoch 45.400) train_loss=790.01437022 time/batch=34.07s
228/500 (epoch 45.600) train_loss=368.36526527 time/batch=17.45s
229/500 (epoch 45.800) train_loss=330.04691289 time/batch=35.93s
230/500 (epoch 46.000) train_loss=814.72906055 time/batch=49.41s
setting learning rate to 0.0014009
231/500 (epoch 46.200) train_loss=260.40468493 time/batch=11.61s
232/500 (epoch 46.400) train_loss=473.64551209 time/batch=21.60s
233/500 (epoch 46.600) train_loss=1130.21950521 time/batch=49.54s
234/500 (epoch 46.800) train_loss=542.29718442 time/batch=23.52s
235/500 (epoch 47.000) train_loss=626.06335253 time/batch=29.88s
setting learning rate to 0.0013589
236/500 (epoch 47.200) train_loss=347.16940105 time/batch=16.37s
237/500 (epoch 47.400) train_loss=612.39533197 time/batch=24.36s
238/500 (epoch 47.600) train_loss=398.62136264 time/batch=26.08s
239/500 (epoch 47.800) train_loss=1133.14663226 time/batch=49.85s
240/500 (epoch 48.000) train_loss=411.63739499 time/batch=53.90s
setting learning rate to 0.0013181
241/500 (epoch 48.200) train_loss=1125.81644182 time/batch=48.16s
242/500 (epoch 48.400) train_loss=392.95625934 time/batch=18.08s
243/500 (epoch 48.600) train_loss=313.26835428 time/batch=18.80s
244/500 (epoch 48.800) train_loss=640.78751189 time/batch=25.10s
245/500 (epoch 49.000) train_loss=426.12774269 time/batch=53.72s
setting learning rate to 0.0012786
246/500 (epoch 49.200) train_loss=272.12447634 time/batch=53.21s
247/500 (epoch 49.400) train_loss=373.25283381 time/batch=17.49s
248/500 (epoch 49.600) train_loss=1138.46674366 time/batch=48.45s
249/500 (epoch 49.800) train_loss=390.77547615 time/batch=20.01s
250/500 (epoch 50.000) train_loss=731.83256013 time/batch=27.71s
setting learning rate to 0.0012402
  saved to metadata/config5-processed_songs-20250114-005031.pkl
251/500 (epoch 50.200) train_loss=873.62326149 time/batch=34.66s
252/500 (epoch 50.400) train_loss=372.83387738 time/batch=17.45s
253/500 (epoch 50.600) train_loss=251.96736429 time/batch=11.53s
254/500 (epoch 50.800) train_loss=415.79211422 time/batch=54.67s
255/500 (epoch 51.000) train_loss=1031.18862394 time/batch=49.97s
