vocabulary size: 163
n tunes: 18194
n train tunes: 17298.0
n validation tunes: 896.0
min, max length 2 2192
Building the model
  number of parameters: 5696108
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   26569      (32, None, 163)
    InputLayer                       0          (32, None)
    LSTMLayer                        1385472    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       83619      (None, 163)
Train model
1/1621 (epoch 0.002) train_loss=2324.40502930 time/batch=10.95s
2/1621 (epoch 0.004) train_loss=395.74163818 time/batch=2.05s
3/1621 (epoch 0.006) train_loss=1609.50122070 time/batch=12.55s
4/1621 (epoch 0.007) train_loss=236.93261719 time/batch=1.25s
5/1621 (epoch 0.009) train_loss=371.71759033 time/batch=2.42s
6/1621 (epoch 0.011) train_loss=675.00769043 time/batch=7.61s
7/1621 (epoch 0.013) train_loss=342.46377563 time/batch=5.00s
8/1621 (epoch 0.015) train_loss=899.66082764 time/batch=6.46s
9/1621 (epoch 0.017) train_loss=877.19659424 time/batch=5.73s
10/1621 (epoch 0.018) train_loss=805.99145508 time/batch=9.01s
11/1621 (epoch 0.020) train_loss=145.89219666 time/batch=1.08s
12/1621 (epoch 0.022) train_loss=405.66119385 time/batch=2.79s
13/1621 (epoch 0.024) train_loss=1163.04174805 time/batch=8.60s
14/1621 (epoch 0.026) train_loss=1406.42736816 time/batch=19.04s
15/1621 (epoch 0.028) train_loss=134.82806396 time/batch=2.29s
16/1621 (epoch 0.030) train_loss=353.62222290 time/batch=5.81s
17/1621 (epoch 0.031) train_loss=662.72058105 time/batch=10.95s
18/1621 (epoch 0.033) train_loss=941.09197998 time/batch=15.19s
19/1621 (epoch 0.035) train_loss=567.09887695 time/batch=5.58s
20/1621 (epoch 0.037) train_loss=169.06462097 time/batch=1.29s
21/1621 (epoch 0.039) train_loss=553.20037842 time/batch=3.98s
22/1621 (epoch 0.041) train_loss=923.68511963 time/batch=6.77s
23/1621 (epoch 0.043) train_loss=517.27563477 time/batch=3.76s
24/1621 (epoch 0.044) train_loss=280.58523560 time/batch=2.10s
25/1621 (epoch 0.046) train_loss=250.84187317 time/batch=1.91s
26/1621 (epoch 0.048) train_loss=985.76599121 time/batch=7.45s
27/1621 (epoch 0.050) train_loss=587.87750244 time/batch=4.40s
28/1621 (epoch 0.052) train_loss=938.69708252 time/batch=6.92s
29/1621 (epoch 0.054) train_loss=407.39459229 time/batch=2.94s
