vocabulary size: 123
n tunes: 400
n train tunes: 368
n validation tunes: 32
min, max length 54 6278
Building the model
  number of parameters: 5582228
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   15129      (32, None, 123)
    InputLayer                       0          (32, None)
    LSTMLayer                        1303552    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       63099      (None, 123)
Train model
1/2200 (epoch 0.091) train_loss=1116.34399414 time/batch=5.70s
2/2200 (epoch 0.182) train_loss=602.13989258 time/batch=3.73s
3/2200 (epoch 0.273) train_loss=1311.91552734 time/batch=8.25s
4/2200 (epoch 0.364) train_loss=1038.95629883 time/batch=30.85s
5/2200 (epoch 0.455) train_loss=780.90924072 time/batch=12.45s
6/2200 (epoch 0.545) train_loss=615.69537354 time/batch=33.70s
7/2200 (epoch 0.636) train_loss=1302.25671387 time/batch=21.10s
8/2200 (epoch 0.727) train_loss=1087.69775391 time/batch=18.29s
9/2200 (epoch 0.818) train_loss=478.95816040 time/batch=13.84s
10/2200 (epoch 0.909) train_loss=550.49755859 time/batch=23.22s
11/2200 (epoch 1.000) train_loss=892.97973633 time/batch=6.27s
12/2200 (epoch 1.091) train_loss=702.36486816 time/batch=8.04s
13/2200 (epoch 1.182) train_loss=884.57678223 time/batch=37.89s
14/2200 (epoch 1.273) train_loss=949.95861816 time/batch=15.70s
15/2200 (epoch 1.364) train_loss=556.39056396 time/batch=8.65s
16/2200 (epoch 1.455) train_loss=1232.17956543 time/batch=20.21s
17/2200 (epoch 1.545) train_loss=1302.89233398 time/batch=25.70s
18/2200 (epoch 1.636) train_loss=889.81237793 time/batch=10.09s
19/2200 (epoch 1.727) train_loss=462.79083252 time/batch=14.02s
20/2200 (epoch 1.818) train_loss=697.94750977 time/batch=23.59s
21/2200 (epoch 1.909) train_loss=610.47711182 time/batch=15.21s
22/2200 (epoch 2.000) train_loss=480.69229126 time/batch=5.08s
23/2200 (epoch 2.091) train_loss=916.89843750 time/batch=6.75s
24/2200 (epoch 2.182) train_loss=863.94818115 time/batch=16.89s
25/2200 (epoch 2.273) train_loss=535.59533691 time/batch=14.78s
26/2200 (epoch 2.364) train_loss=432.80685425 time/batch=13.97s
27/2200 (epoch 2.455) train_loss=1322.55737305 time/batch=10.63s
28/2200 (epoch 2.545) train_loss=868.74896240 time/batch=6.72s
29/2200 (epoch 2.636) train_loss=1150.42883301 time/batch=8.29s
30/2200 (epoch 2.727) train_loss=807.20520020 time/batch=11.50s
31/2200 (epoch 2.818) train_loss=740.97821045 time/batch=26.23s
32/2200 (epoch 2.909) train_loss=564.75311279 time/batch=4.61s
33/2200 (epoch 3.000) train_loss=572.41516113 time/batch=5.08s
34/2200 (epoch 3.091) train_loss=385.72268677 time/batch=3.21s
35/2200 (epoch 3.182) train_loss=471.39666748 time/batch=15.64s
36/2200 (epoch 3.273) train_loss=536.99383545 time/batch=4.43s
37/2200 (epoch 3.364) train_loss=731.95568848 time/batch=6.09s
38/2200 (epoch 3.455) train_loss=1010.71533203 time/batch=8.45s
39/2200 (epoch 3.545) train_loss=723.72943115 time/batch=26.15s
40/2200 (epoch 3.636) train_loss=885.30926514 time/batch=7.06s
41/2200 (epoch 3.727) train_loss=608.87841797 time/batch=5.13s
42/2200 (epoch 3.818) train_loss=758.11682129 time/batch=18.58s
43/2200 (epoch 3.909) train_loss=1093.90942383 time/batch=9.27s
44/2200 (epoch 4.000) train_loss=1189.13354492 time/batch=10.76s
45/2200 (epoch 4.091) train_loss=842.91778564 time/batch=6.94s
46/2200 (epoch 4.182) train_loss=692.25238037 time/batch=5.57s
47/2200 (epoch 4.273) train_loss=786.03161621 time/batch=18.75s
