vocabulary size: 159
n tunes: 9984
n train tunes: 9472.0
n validation tunes: 512.0
min, max length 37 1086
Building the model
  number of parameters: 5684576
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   25281      (32, None, 159)
    InputLayer                       0          (32, None)
    LSTMLayer                        1377280    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       81567      (None, 159)
Train model
1/59200 (epoch 0.003) train_loss=1371.39731959 time/batch=15.66s
2/59200 (epoch 0.007) train_loss=1391.79299568 time/batch=17.27s
3/59200 (epoch 0.010) train_loss=772.02232944 time/batch=11.40s
4/59200 (epoch 0.014) train_loss=1003.98719364 time/batch=17.17s
5/59200 (epoch 0.017) train_loss=320.09703564 time/batch=5.66s
6/59200 (epoch 0.020) train_loss=1334.01659301 time/batch=22.92s
7/59200 (epoch 0.024) train_loss=671.28869347 time/batch=11.03s
8/59200 (epoch 0.027) train_loss=1508.44600705 time/batch=26.53s
9/59200 (epoch 0.030) train_loss=1927.19981883 time/batch=38.55s
10/59200 (epoch 0.034) train_loss=153.94631625 time/batch=2.83s
11/59200 (epoch 0.037) train_loss=966.87112201 time/batch=17.15s
12/59200 (epoch 0.041) train_loss=845.60618057 time/batch=15.07s
13/59200 (epoch 0.044) train_loss=248.16088105 time/batch=4.67s
14/59200 (epoch 0.047) train_loss=291.46286893 time/batch=5.42s
15/59200 (epoch 0.051) train_loss=855.43932628 time/batch=15.81s
16/59200 (epoch 0.054) train_loss=2625.39471347 time/batch=63.65s
17/59200 (epoch 0.057) train_loss=486.30316020 time/batch=8.36s
18/59200 (epoch 0.061) train_loss=146.53304404 time/batch=2.74s
19/59200 (epoch 0.064) train_loss=304.85259197 time/batch=5.74s
20/59200 (epoch 0.068) train_loss=1072.85745384 time/batch=18.89s
21/59200 (epoch 0.071) train_loss=245.67265219 time/batch=4.59s
22/59200 (epoch 0.074) train_loss=404.47426707 time/batch=7.60s
23/59200 (epoch 0.078) train_loss=627.63981709 time/batch=11.32s
24/59200 (epoch 0.081) train_loss=584.34754745 time/batch=10.93s
25/59200 (epoch 0.084) train_loss=584.58820973 time/batch=10.62s
26/59200 (epoch 0.088) train_loss=415.35427068 time/batch=7.87s
27/59200 (epoch 0.091) train_loss=496.33389830 time/batch=9.50s
28/59200 (epoch 0.095) train_loss=214.91073557 time/batch=4.07s
29/59200 (epoch 0.098) train_loss=744.00808727 time/batch=16.19s
30/59200 (epoch 0.101) train_loss=235.92948210 time/batch=5.51s
31/59200 (epoch 0.105) train_loss=186.22861449 time/batch=4.00s
32/59200 (epoch 0.108) train_loss=582.91243092 time/batch=11.94s
33/59200 (epoch 0.111) train_loss=201.41146604 time/batch=4.12s
34/59200 (epoch 0.115) train_loss=845.90232569 time/batch=19.89s
35/59200 (epoch 0.118) train_loss=402.12061583 time/batch=8.00s
36/59200 (epoch 0.122) train_loss=478.74563640 time/batch=10.18s
37/59200 (epoch 0.125) train_loss=227.92156784 time/batch=4.57s
38/59200 (epoch 0.128) train_loss=1134.87132828 time/batch=22.99s
39/59200 (epoch 0.132) train_loss=351.13670879 time/batch=7.06s
40/59200 (epoch 0.135) train_loss=326.48716804 time/batch=6.86s
41/59200 (epoch 0.139) train_loss=473.08276507 time/batch=9.50s
42/59200 (epoch 0.142) train_loss=242.56089175 time/batch=4.93s
43/59200 (epoch 0.145) train_loss=501.65820955 time/batch=10.16s
44/59200 (epoch 0.149) train_loss=390.17826941 time/batch=8.27s
45/59200 (epoch 0.152) train_loss=535.80656520 time/batch=13.28s
46/59200 (epoch 0.155) train_loss=1076.40846193 time/batch=26.28s
47/59200 (epoch 0.159) train_loss=579.02225957 time/batch=13.59s
48/59200 (epoch 0.162) train_loss=472.60678842 time/batch=9.89s
49/59200 (epoch 0.166) train_loss=527.27318190 time/batch=11.88s
50/59200 (epoch 0.169) train_loss=490.26174034 time/batch=9.80s
51/59200 (epoch 0.172) train_loss=324.35314804 time/batch=6.98s
52/59200 (epoch 0.176) train_loss=501.75457020 time/batch=10.66s
53/59200 (epoch 0.179) train_loss=478.94382917 time/batch=10.26s
54/59200 (epoch 0.182) train_loss=181.76127079 time/batch=4.26s
55/59200 (epoch 0.186) train_loss=646.42522376 time/batch=12.74s
56/59200 (epoch 0.189) train_loss=186.07723944 time/batch=4.14s
