vocabulary size: 137
n tunes: 23636
n train tunes: 22452.0
n validation tunes: 1184.0
min, max length 48 1954
Building the model
  number of parameters: 5621722
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   18769      (32, None, 137)
    InputLayer                       0          (32, None)
    LSTMLayer                        1332224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       70281      (None, 137)
Train model
1/3508 (epoch 0.001) train_loss=3433.21009954 time/batch=19.23s
2/3508 (epoch 0.003) train_loss=2831.05730119 time/batch=16.39s
3/3508 (epoch 0.004) train_loss=2288.89012350 time/batch=11.26s
4/3508 (epoch 0.006) train_loss=462.86281013 time/batch=3.30s
5/3508 (epoch 0.007) train_loss=361.26549257 time/batch=2.87s
6/3508 (epoch 0.009) train_loss=1338.39092185 time/batch=10.48s
7/3508 (epoch 0.010) train_loss=1111.06538751 time/batch=8.12s
8/3508 (epoch 0.011) train_loss=2074.58093157 time/batch=14.86s
9/3508 (epoch 0.013) train_loss=639.66551465 time/batch=4.45s
10/3508 (epoch 0.014) train_loss=895.28591695 time/batch=6.77s
11/3508 (epoch 0.016) train_loss=2478.44478146 time/batch=21.06s
12/3508 (epoch 0.017) train_loss=2499.79603567 time/batch=23.57s
13/3508 (epoch 0.019) train_loss=729.74373934 time/batch=5.78s
14/3508 (epoch 0.020) train_loss=798.21900880 time/batch=6.44s
15/3508 (epoch 0.021) train_loss=1555.92824020 time/batch=12.61s
16/3508 (epoch 0.023) train_loss=624.05367879 time/batch=5.08s
17/3508 (epoch 0.024) train_loss=1473.43853662 time/batch=12.81s
18/3508 (epoch 0.026) train_loss=1643.79314968 time/batch=13.60s
19/3508 (epoch 0.027) train_loss=1724.25774997 time/batch=13.90s
20/3508 (epoch 0.029) train_loss=1939.54737333 time/batch=24.37s
21/3508 (epoch 0.030) train_loss=326.86021378 time/batch=2.62s
22/3508 (epoch 0.031) train_loss=583.87140286 time/batch=4.67s
23/3508 (epoch 0.033) train_loss=712.05706232 time/batch=5.81s
