vocabulary size: 7551
n tunes: 18184
n train tunes: 17288.0
n validation tunes: 896.0
min, max length 2 2198
Building the model
  number of parameters: 81607808
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   57017601   (32, None, 7551)
    InputLayer                       0          (32, None)
    LSTMLayer                        16516096   (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       3873663    (None, 7551)
Train model
1/1620 (epoch 0.002) train_loss=3127.91748047 time/batch=15.85s
2/1620 (epoch 0.004) train_loss=5731.01806641 time/batch=87.32s
3/1620 (epoch 0.006) train_loss=3766.94238281 time/batch=19.44s
4/1620 (epoch 0.007) train_loss=773.58349609 time/batch=12.60s
5/1620 (epoch 0.009) train_loss=361.17312622 time/batch=9.72s
6/1620 (epoch 0.011) train_loss=807.81768799 time/batch=50.61s
7/1620 (epoch 0.013) train_loss=1384.43188477 time/batch=40.11s
8/1620 (epoch 0.015) train_loss=1072.58496094 time/batch=14.29s
9/1620 (epoch 0.017) train_loss=1823.90808105 time/batch=26.40s
10/1620 (epoch 0.019) train_loss=658.76556396 time/batch=7.36s
11/1620 (epoch 0.020) train_loss=1181.87048340 time/batch=20.31s
12/1620 (epoch 0.022) train_loss=1151.80822754 time/batch=54.55s
13/1620 (epoch 0.024) train_loss=844.21697998 time/batch=24.62s
14/1620 (epoch 0.026) train_loss=306.63485718 time/batch=8.80s
15/1620 (epoch 0.028) train_loss=400.19546509 time/batch=195.24s
16/1620 (epoch 0.030) train_loss=491.19189453 time/batch=15.17s
17/1620 (epoch 0.031) train_loss=336.39178467 time/batch=10.37s
18/1620 (epoch 0.033) train_loss=1017.10876465 time/batch=29.71s
19/1620 (epoch 0.035) train_loss=716.31481934 time/batch=8.97s
20/1620 (epoch 0.037) train_loss=945.93041992 time/batch=26.52s
21/1620 (epoch 0.039) train_loss=789.47344971 time/batch=24.75s
22/1620 (epoch 0.041) train_loss=435.84979248 time/batch=13.36s
23/1620 (epoch 0.043) train_loss=1207.66760254 time/batch=39.45s
24/1620 (epoch 0.044) train_loss=200.35392761 time/batch=6.03s
25/1620 (epoch 0.046) train_loss=1531.97058105 time/batch=64.96s
26/1620 (epoch 0.048) train_loss=402.34094238 time/batch=11.51s
27/1620 (epoch 0.050) train_loss=598.61480713 time/batch=18.58s
28/1620 (epoch 0.052) train_loss=458.94058228 time/batch=14.17s
29/1620 (epoch 0.054) train_loss=519.40209961 time/batch=16.15s
30/1620 (epoch 0.056) train_loss=690.79211426 time/batch=21.59s
31/1620 (epoch 0.057) train_loss=336.37100220 time/batch=10.35s
32/1620 (epoch 0.059) train_loss=1182.64575195 time/batch=45.55s
33/1620 (epoch 0.061) train_loss=240.16693115 time/batch=6.55s
34/1620 (epoch 0.063) train_loss=1024.85192871 time/batch=32.77s
35/1620 (epoch 0.065) train_loss=429.22143555 time/batch=13.09s
36/1620 (epoch 0.067) train_loss=733.73101807 time/batch=22.97s
37/1620 (epoch 0.068) train_loss=972.66235352 time/batch=30.87s
38/1620 (epoch 0.070) train_loss=595.12872314 time/batch=18.16s
39/1620 (epoch 0.072) train_loss=633.01757812 time/batch=20.21s
40/1620 (epoch 0.074) train_loss=241.95602417 time/batch=7.34s
41/1620 (epoch 0.076) train_loss=604.99114990 time/batch=19.31s
42/1620 (epoch 0.078) train_loss=978.49041748 time/batch=32.05s
43/1620 (epoch 0.080) train_loss=424.86068726 time/batch=13.16s
44/1620 (epoch 0.081) train_loss=596.90246582 time/batch=18.89s
45/1620 (epoch 0.083) train_loss=589.06402588 time/batch=18.42s
46/1620 (epoch 0.085) train_loss=338.70434570 time/batch=10.90s
47/1620 (epoch 0.087) train_loss=307.68444824 time/batch=9.97s
48/1620 (epoch 0.089) train_loss=1248.27209473 time/batch=69.50s
49/1620 (epoch 0.091) train_loss=699.18493652 time/batch=21.01s
50/1620 (epoch 0.093) train_loss=682.65405273 time/batch=21.37s
51/1620 (epoch 0.094) train_loss=792.48919678 time/batch=24.99s
52/1620 (epoch 0.096) train_loss=569.59197998 time/batch=17.58s
53/1620 (epoch 0.098) train_loss=270.50759888 time/batch=8.73s
54/1620 (epoch 0.100) train_loss=106.43415070 time/batch=4.24s
55/1620 (epoch 0.102) train_loss=782.20452881 time/batch=25.02s
56/1620 (epoch 0.104) train_loss=229.24949646 time/batch=7.17s
57/1620 (epoch 0.106) train_loss=631.53363037 time/batch=20.31s
58/1620 (epoch 0.107) train_loss=762.98736572 time/batch=24.24s
